geoname,2018 GDP,2019 GDP,2020 GDP,2021 GDP,2022 GDP,2023 GDP
United States *,257890945,268335696,265504416,293653706,320700015,340746782
Southeast,54967753,57280157,57183977,63319310,69610728,74688882
Far West,47032436,49713336,49745842,55375008,59280956,63121134
Mideast,43571126,45282725,44498891,48223775,51874053,54821688
California,36096692,38086618,38125859,42478617,45287909,48014210
Great Lakes,35117628,36178166,35276820,38615335,42013771,44378573
Southwest,30714651,31607073,30674374,35300480,40278118,42921379
Texas,22631415,23171326,22320987,25935347,29901601,31947712
New York,20802502,21815104,21482757,23235923,24903726,26162257
Plains,16281325,16745834,16726653,18307175,19982294,21170380
New England,13342882,13876695,13792365,15036828,16146923,17137996
Florida,13076417,13756250,13907674,15756277,17554590,19264729
Illinois,10886301,11175887,10724396,11773137,12812988,13529254
Pennsylvania,9718432,9998494,9672287,10498955,11357036,12019727
Ohio,8496837,8862207,8696133,9555686,10414329,10997011
Rocky Mountain,8455235,8991591,9054618,10193663,11274677,11958029
New Jersey,7655714,7923078,7770297,8531372,9310946,9853070
Georgia,7590807,8006412,7895845,8680186,9500707,9973708
North Carolina,7187168,7475688,7572993,8279061,8985483,9616984
Washington,7107025,7582561,7678105,8498801,9117042,9892439
Massachusetts,6913864,7262053,7266145,7958494,8524532,9032718
Michigan,6689527,6825117,6721502,7301582,7878607,8338852
Virginia,6622870,6919623,6958288,7551931,8156194,8691744
Maryland,5015993,5120730,5052079,5460921,5863614,6254986
Indiana,4903517,5000347,4876647,5462003,6088446,6438324
Minnesota,4664137,4799856,4734042,5149468,5591020,5890479
Tennessee,4655073,4849831,4903941,5487554,6091170,6557967
Colorado,4579209,4869578,4873067,5471675,6009047,6361045
Arizona,4358083,4632814,4768260,5331547,5865512,6263354
Wisconsin,4228706,4388285,4337967,4649208,4980061,5216230
Missouri,3989154,4163568,4177321,4544556,4943827,5260822
Connecticut,3491130,3555513,3433311,3682128,3979923,4242359
Louisiana,3277104,3273029,2968958,3324822,3710750,3945098
Oregon,2989577,3112894,3153227,3441901,3714738,3943115
South Carolina,2978539,3125446,3130512,3397201,3726921,4037281
Alabama,2866362,2964395,2961939,3246261,3554273,3794323
Kentucky,2672725,2804167,2769081,3004186,3274920,3513465
Oklahoma,2523657,2539324,2365077,2677129,2987458,3130354
Iowa,2453871,2486950,2532654,2796339,3017264,3151814
Utah,2322949,2500033,2548446,2882547,3190139,3394045
Kansas,2187994,2228576,2228633,2409820,2636998,2843573
Nevada,2100493,2243440,2143247,2435993,2715206,2915377
District of Columbia,1687917,1735159,1756026,1864572,1972164,2088624
Arkansas,1626045,1666586,1704615,1910067,2088211,2218476
Nebraska,1589952,1648835,1682648,1861317,2055179,2220726
Mississippi,1424921,1451215,1458345,1612146,1763905,1844657
New Mexico,1201498,1263606,1220049,1356461,1523548,1579962
Hawaii,1087726,1116923,1012209,1113407,1209034,1291881
New Hampshire,1039655,1083900,1097019,1227474,1300580,1376113
West Virginia,989740,987533,951799,1069628,1203618,1230463
Idaho,984240,1050620,1095693,1223795,1373362,1472375
Delaware,897066,963614,951491,1016152,1103089,1147050
Maine,815084,853020,888160,971403,1055439,1118650
Rhode Island,739959,768857,763681,827200,895472,951266
North Dakota,738258,741628,679589,775164,891861,911977
South Dakota,657960,676429,691772,770514,846151,890986
Alaska,654506,650871,612710,701276,785456,804228
Montana,628876,645362,646839,732671,820940,864002
Wyoming,458374,461573,425899,487247,563078,575980
Vermont,414181,427902,426171,464510,503867,531794
