state,Total Approval Amount
CA,80140325913.5084
FL,65005048825.537254
TX,62098107952.02353
NY,48780285519.914986
IL,40983491492.24049
GA,34412067854.2779
PA,24423818385.792698
OH,21130296918.07128
NJ,18077092523.7856
MI,17634432913.549854
VA,17573319322.001354
MN,17223003357.080307
LA,15498154615.927599
MO,15414477711.744967
TN,15156963234.03013
NC,14324718511.837065
AL,13916655604.076628
MA,12926969402.224115
IN,12730381314.73154
CO,12438938368.22083
WA,12153132262.061995
IA,12040412827.205675
WI,12024786127.9424
MD,11649951762.34204
KY,10812085272.28814
NE,10549143738.227211
OK,10066763992.643908
AZ,9874275948.028538
SC,9632235871.38786
CT,8748497973.821241
MS,8428475936.007959
OR,8085663130.502552
KS,7248094413.766701
AR,6915409563.913597
NV,6236612187.240986
UT,5024229137.042912
MT,4516276539.563831
ND,4480162659.833829
ME,4310513470.124903
PR,4208681038.3711195
SD,4019700106.496247
ID,3634994309.4698133
HI,3193300751.395032
NM,2824448435.381262
NH,2741321992.2250147
DC,2423915225.4611254
AK,2076663710.0935981
DE,1908613684.946126
RI,1824279754.5501838
WV,1802621808.0611677
WY,1589577722.8574226
VT,1507988162.106192
GU,261013142.7112504
VI,256908102.3437514
MP,68309036.03999992
AS,23974149.974999994
AE,173699.3125
FI,102421.5925
